time	V(vgnd)	V(vraw)
2.982400000000003e-03	1.180887e+01	2.346076e+01
2.992400000000003e-03	1.180885e+01	2.346075e+01
3.002400000000003e-03	1.180884e+01	2.346074e+01
3.012400000000003e-03	1.180882e+01	2.346073e+01
3.022400000000003e-03	1.180881e+01	2.346072e+01
3.032400000000003e-03	1.180879e+01	2.346071e+01
3.042400000000003e-03	1.180877e+01	2.346070e+01
3.052400000000003e-03	1.180876e+01	2.346070e+01
3.062400000000003e-03	1.180874e+01	2.346069e+01
3.072400000000003e-03	1.180873e+01	2.346069e+01
3.082400000000003e-03	1.180871e+01	2.346068e+01
3.092400000000003e-03	1.180870e+01	2.346068e+01
3.102400000000003e-03	1.180868e+01	2.346067e+01
3.112400000000003e-03	1.180866e+01	2.346067e+01
3.122400000000003e-03	1.180865e+01	2.346066e+01
3.132400000000003e-03	1.180863e+01	2.346066e+01
3.142400000000003e-03	1.180862e+01	2.346066e+01
3.152400000000003e-03	1.180860e+01	2.346066e+01
3.162400000000003e-03	1.180859e+01	2.346065e+01
3.172400000000003e-03	1.180857e+01	2.346065e+01
3.182400000000003e-03	1.180855e+01	2.346065e+01
3.192400000000003e-03	1.180854e+01	2.346065e+01
3.202400000000003e-03	1.180852e+01	2.346065e+01
3.212400000000003e-03	1.180851e+01	2.346064e+01
3.222400000000003e-03	1.180849e+01	2.346064e+01
3.232400000000003e-03	1.180848e+01	2.346064e+01
3.242400000000003e-03	1.180846e+01	2.346064e+01
3.252400000000003e-03	1.180845e+01	2.346064e+01
3.262400000000003e-03	1.180843e+01	2.346064e+01
3.272400000000003e-03	1.180841e+01	2.346064e+01
3.282400000000003e-03	1.180840e+01	2.346064e+01
3.292400000000003e-03	1.180838e+01	2.346064e+01
3.302400000000004e-03	1.180837e+01	2.346064e+01
3.312400000000004e-03	1.180835e+01	2.346063e+01
3.322400000000004e-03	1.180834e+01	2.346063e+01
3.332400000000004e-03	1.180832e+01	2.346063e+01
3.342400000000004e-03	1.180830e+01	2.346063e+01
3.352400000000004e-03	1.180829e+01	2.346063e+01
3.362400000000004e-03	1.180827e+01	2.346063e+01
3.372400000000004e-03	1.180826e+01	2.346063e+01
3.382400000000004e-03	1.180824e+01	2.346063e+01
