Freq.	V(vout)/V(cart_emf)
1.81970085860998e+01	(5.09771748193382e+01dB,2.83236530028565e+01°)
1.86208713666287e+01	(5.10590196959726e+01dB,2.72757921757195e+01°)
1.90546071796325e+01	(5.11375954035501e+01dB,2.62205423681862e+01°)
1.94984459975804e+01	(5.12128645879353e+01dB,2.51582425041601e+01°)
1.99526231496888e+01	(5.12847916319619e+01dB,2.40892393016573e+01°)
2.04173794466953e+01	(5.13533426852573e+01dB,2.30138867469598e+01°)
2.08929613085404e+01	(5.14184856911882e+01dB,2.19325455628220e+01°)
2.13796208950223e+01	(5.14801904038103e+01dB,2.08455827061120e+01°)
2.18776162394955e+01	(5.15384284027438e+01dB,1.97533708574947e+01°)
2.23872113856834e+01	(5.15931731000129e+01dB,1.86562879384257e+01°)
2.29086765276777e+01	(5.16443997440826e+01dB,1.75547166459647e+01°)
2.34422881531992e+01	(5.16920854189933e+01dB,1.64490440001158e+01°)
2.39883291901949e+01	(5.17362090382670e+01dB,1.53396609344612e+01°)
2.45470891568503e+01	(5.17767513397184e+01dB,1.42269618877560e+01°)
2.51188643150958e+01	(5.18136948725194e+01dB,1.31113444443204e+01°)
2.57039578276886e+01	(5.18470239877165e+01dB,1.19932089900152e+01°)
2.63026799189538e+01	(5.18767248230992e+01dB,1.08729584017579e+01°)
2.69153480392691e+01	(5.19027852903541e+01dB,9.75099776428567e+00°)
2.75422870333816e+01	(5.19251950618370e+01dB,8.62773410591082e+00°)
2.81838293126445e+01	(5.19439455573605e+01dB,7.50357616999322e+00°)
2.88403150312660e+01	(5.19590299330639e+01dB,6.37893419966714e+00°)
2.95120922666638e+01	(5.19704430706502e+01dB,5.25421974766380e+00°)
3.01995172040201e+01	(5.19781815706257e+01dB,4.12984550219783e+00°)
3.09029543251359e+01	(5.19822437470670e+01dB,3.00622512060526e+00°)
3.16227766016838e+01	(5.19826296238396e+01dB,1.88377308169453e+00°)
3.23593656929628e+01	(5.19793409365794e+01dB,7.62904534518595e-01°)
3.31131121482591e+01	(5.19723811355733e+01dB,-3.55964843893959e-01°)
3.38844156139202e+01	(5.19617553923531e+01dB,-1.47241900103876e+00°)
3.46736850452531e+01	(5.19474706085741e+01dB,-2.58604165858263e+00°)
3.54813389233575e+01	(5.19295354283158e+01dB,-3.69641647916250e+00°)
3.63078054770101e+01	(5.19079602533581e+01dB,-4.80312724818438e+00°)
3.71535229097172e+01	(5.18827572589128e+01dB,-5.90575806880495e+00°)
3.80189396320561e+01	(5.18539404122773e+01dB,-7.00389357672523e+00°)
3.89045144994280e+01	(5.18215254925768e+01dB,-8.09711918615877e+00°)
3.98107170553497e+01	(5.17855301111491e+01dB,-9.18502135125166e+00°)
4.07380277804112e+01	(5.17459737315676e+01dB,-1.02671878613191e+01°)
4.16869383470335e+01	(5.17028776896111e+01dB,-1.13432081596341e+01°)
4.26579518801592e+01	(5.16562652114237e+01dB,-1.24126736926285e+01°)
4.36515832240165e+01	(5.16061614312408e+01dB,-1.34751782896447e+01°)
4.46683592150962e+01	(5.15525934051939e+01dB,-1.45303185644342e+01°)
4.57088189614874e+01	(5.14955901229215e+01dB,-1.55776943493595e+01°)
4.67735141287197e+01	(5.14351825147112e+01dB,-1.66169091474775e+01°)
4.78630092322638e+01	(5.13714034562778e+01dB,-1.76475706143732e+01°)
4.89778819368445e+01	(5.13042877659416e+01dB,-1.86692910519479e+01°)
5.01187233627271e+01	(5.12338721990507e+01dB,-1.96816879202593e+01°)
5.12861383991364e+01	(5.11601954370053e+01dB,-2.06843843664306e+01°)
5.24807460249772e+01	(5.10832980682583e+01dB,-2.16770097537033e+01°)
5.37031796370252e+01	(5.10032225645362e+01dB,-2.26592002004649e+01°)
5.49540873857623e+01	(5.09200132523403e+01dB,-2.36305991161134e+01°)
5.62341325190348e+01	(5.08337162766800e+01dB,-2.45908577371596e+01°)
5.75439937337156e+01	(5.07443795572178e+01dB,-2.55396356435329e+01°)
5.88843655355588e+01	(5.06520527425575e+01dB,-2.64766012766388e+01°)
6.02559586074357e+01	(5.05567871535452e+01dB,-2.74014324250097e+01°)
6.16595001861481e+01	(5.04586357260043e+01dB,-2.83138166965967e+01°)
6.30957344480192e+01	(5.03576529442310e+01dB,-2.92134519655986e+01°)
6.45654229034654e+01	(5.02538947722033e+01dB,-3.01000467886862e+01°)
6.60693448007595e+01	(5.01474185785142e+01dB,-3.09733207852981e+01°)
6.76082975391980e+01	(5.00382830603518e+01dB,-3.18330049935424e+01°)
6.91830970918935e+01	(4.99265481598264e+01dB,-3.26788421779533e+01°)
7.07945784384136e+01	(4.98122749821342e+01dB,-3.35105871074699e+01°)
7.24435960074988e+01	(4.96955257087003e+01dB,-3.43280067872936e+01°)
7.41310241300916e+01	(4.95763635099116e+01dB,-3.51308806569359e+01°)
7.58577575029182e+01	(4.94548524566574e+01dB,-3.59190007390087e+01°)
7.76247116628690e+01	(4.93310574319708e+01dB,-3.66921717535447e+01°)
7.94328234724279e+01	(4.92050440421588e+01dB,-3.74502111886854e+01°)
8.12830516164097e+01	(4.90768785305675e+01dB,-3.81929493342547e+01°)
8.31763771102669e+01	(4.89466276912034e+01dB,-3.89202292738816e+01°)
8.51138038202374e+01	(4.88143587843634e+01dB,-3.96319068446270e+01°)
8.70963589956078e+01	(4.86801394556253e+01dB,-4.03278505586128e+01°)
8.91250938133743e+01	(4.85440376576699e+01dB,-4.10079414941925e+01°)
9.12010839355907e+01	(4.84061215742060e+01dB,-4.16720731596208e+01°)
9.33254300796988e+01	(4.82664595500901e+01dB,-4.23201513250898e+01°)
9.54992586021433e+01	(4.81251200214939e+01dB,-4.29520938335825e+01°)
9.77237220955808e+01	(4.79821714535073e+01dB,-4.35678303924857e+01°)
9.99999999999997e+01	(4.78376822810797e+01dB,-4.41673023439714e+01°)
1.02329299228075e+02	(4.76917208545837e+01dB,-4.47504624230307e+01°)
1.04712854805090e+02	(4.75443553885426e+01dB,-4.53172745004637e+01°)
1.07151930523760e+02	(4.73956539180373e+01dB,-4.58677133251447e+01°)
1.09647819614318e+02	(4.72456842561327e+01dB,-4.64017642511455e+01°)
1.12201845430196e+02	(4.70945139583733e+01dB,-4.69194229701409e+01°)
1.14815362149688e+02	(4.69422102920132e+01dB,-4.74206952413008e+01°)
1.17489755493953e+02	(4.67888402066785e+01dB,-4.79055966241566e+01°)
1.20226443461741e+02	(4.66344703131249e+01dB,-4.83741522210755e+01°)
1.23026877081238e+02	(4.64791668632781e+01dB,-4.88263964232015e+01°)
1.25892541179416e+02	(4.63229957346556e+01dB,-4.92623726726931e+01°)
1.28824955169313e+02	(4.61660224191240e+01dB,-4.96821332366235e+01°)
1.31825673855640e+02	(4.60083120142762e+01dB,-5.00857389923823e+01°)
1.34896288259165e+02	(4.58499292180007e+01dB,-5.04732592373611e+01°)
1.38038426460288e+02	(4.56909383248938e+01dB,-5.08447715110211e+01°)
1.41253754462275e+02	(4.55314032269379e+01dB,-5.12003614412329e+01°)
1.44543977074592e+02	(4.53713874131362e+01dB,-5.15401226125028e+01°)
1.47910838816820e+02	(4.52109539750377e+01dB,-5.18641564485671e+01°)
1.51356124843620e+02	(4.50501656080397e+01dB,-5.21725721349805e+01°)
1.54881661891248e+02	(4.48890846191090e+01dB,-5.24654865489355e+01°)
1.58489319246111e+02	(4.47277729309273e+01dB,-5.27430242206892e+01°)
1.62181009735892e+02	(4.45662920872649e+01dB,-5.30053173239477e+01°)
1.65958690743755e+02	(4.44047032599965e+01dB,-5.32525056803570e+01°)
1.69824365246174e+02	(4.42430672523908e+01dB,-5.34847368024788e+01°)
1.73780082874937e+02	(4.40814445024712e+01dB,-5.37021659485964e+01°)
1.77827941003892e+02	(4.39198950868348e+01dB,-5.39049562047359e+01°)
1.81970085860998e+02	(4.37584787188426e+01dB,-5.40932785963427e+01°)
1.86208713666286e+02	(4.35972547479973e+01dB,-5.42673122100758e+01°)
1.90546071796324e+02	(4.34362821548849e+01dB,-5.44272443495305e+01°)
1.94984459975804e+02	(4.32756195437328e+01dB,-5.45732706949107e+01°)
1.99526231496887e+02	(4.31153251320064e+01dB,-5.47055954949696e+01°)
2.04173794466952e+02	(4.29554567341244e+01dB,-5.48244317665559e+01°)
2.08929613085403e+02	(4.27960717462023e+01dB,-5.49300015038929e+01°)
2.13796208950222e+02	(4.26372271205013e+01dB,-5.50225359158862e+01°)
2.18776162394954e+02	(4.24789793389150e+01dB,-5.51022756501783e+01°)
2.23872113856833e+02	(4.23213843829262e+01dB,-5.51694710394713e+01°)
2.29086765276776e+02	(4.21644976941911e+01dB,-5.52243823482258e+01°)
2.34422881531991e+02	(4.20083741347156e+01dB,-5.52672800159905e+01°)
2.39883291901948e+02	(4.18530679377165e+01dB,-5.52984448965862e+01°)
